id,valor,hora,categoria,regiao,metodo_pagamento,is_fraud
53922,317.78,5,E,Sudeste,debito,0
51296,204.32,6,B,Centro-Oeste,debito,0
54694,1487.02,15,F,Nordeste,credito,0
52796,45286.36,17,E,Norte,debito,0
50409,108.25,22,A,Sudeste,credito,0
53359,19.29,17,D,Nordeste,debito,0
50394,271.68,18,B,Nordeste,pix,0
55510,8321.88,1,F,Centro-Oeste,pix,0
52579,3.34,2,B,Centro-Oeste,debito,0
53207,2318.7,12,B,Sul,boleto,0
51023,521.55,19,A,Sudeste,debito,0
50593,155.59,3,C,Norte,debito,0
56177,6.01,22,B,Nordeste,boleto,0
53952,8801.0,0,C,Nordeste,debito,0
51560,19.63,5,A,Sudeste,credito,0
51860,2058.49,3,D,Centro-Oeste,credito,0
50234,1749.25,18,D,Norte,debito,0
56719,2255.68,4,D,Sul,credito,0
55289,326.29,4,D,Sul,credito,0
51670,1745.98,5,A,Centro-Oeste,pix,0
51415,200.23,23,A,Sul,pix,0
57047,9.96,1,E,Nordeste,debito,0
53264,38.33,3,F,Norte,pix,0
55757,33.74,23,E,Norte,pix,0
53182,79.77,15,C,Centro-Oeste,pix,0
51447,562.19,5,B,Norte,credito,0
56051,733.24,4,B,Norte,credito,0
53862,14.66,7,C,Norte,debito,0
50712,11489.29,22,C,Centro-Oeste,credito,0
53170,712.39,3,E,Centro-Oeste,credito,0
51079,72.76,21,A,Sul,pix,0
54865,56.76,6,E,Sudeste,credito,0
51583,194.09,8,B,Nordeste,boleto,0
53908,51.79,20,D,Centro-Oeste,debito,0
53485,91.38,1,C,Sudeste,boleto,0
56553,315.01,14,C,Sudeste,credito,0
51116,76.0,0,B,Norte,pix,0
52432,980.79,8,C,Norte,credito,0
53802,62.95,21,D,Sul,debito,0
51401,8.42,18,A,Norte,debito,0
53414,52.32,21,D,Centro-Oeste,pix,0
52610,1462.69,12,F,Sudeste,debito,0
51424,178.57,5,E,Sudeste,debito,0
56473,72.4,20,A,Norte,credito,0
54815,637.42,6,A,Norte,pix,0
53837,149.22,1,A,Sudeste,pix,0
51159,1041.85,23,A,Nordeste,pix,0
53367,355.54,20,C,Centro-Oeste,credito,0
50512,265.69,6,A,Sul,credito,0
51502,306.48,2,B,Sudeste,pix,0
56896,260.6,8,B,Norte,debito,0
53772,1906.58,21,A,Centro-Oeste,debito,0
54214,547.7,13,E,Norte,boleto,0
51422,809.5,4,A,Norte,debito,0
56789,6365.9,15,B,Centro-Oeste,debito,0
50178,680.65,8,F,Norte,credito,0
51563,127.47,15,C,Norte,credito,0
54092,355.89,23,A,Norte,pix,0
52307,395.57,3,D,Nordeste,credito,0
56957,1250.45,17,E,Norte,credito,0
52200,676.0,6,E,Centro-Oeste,credito,0
56189,3541.51,22,B,Sudeste,debito,0
53408,68.38,13,B,Norte,pix,0
51336,601.62,12,A,Sul,credito,0
53249,1483.55,0,A,Nordeste,debito,0
51903,2847.94,10,D,Sudeste,debito,0
56959,1308.9,19,A,Centro-Oeste,boleto,0
56515,33.99,9,F,Nordeste,credito,0
54508,590.95,11,E,Sul,credito,0
55838,1132.79,22,E,Norte,debito,0
56270,68.71,14,A,Norte,credito,0
56968,1408.17,15,C,Sudeste,credito,0
53683,314.28,20,E,Nordeste,credito,0
53313,20522.82,17,C,Sul,debito,0
52903,41028.59,14,E,Nordeste,credito,0
50458,2473.02,21,E,Norte,credito,0
52551,414.08,22,A,Sul,credito,0
53461,247.37,15,B,Centro-Oeste,pix,0
50743,53.98,6,A,Centro-Oeste,credito,0
50264,106.59,6,A,Sudeste,credito,0
56521,304.54,17,A,Norte,debito,0
55902,1112.55,18,B,Centro-Oeste,pix,0
51500,9.14,18,E,Norte,pix,0
52893,27.39,12,E,Nordeste,pix,0
54546,7322.42,15,B,Nordeste,pix,0
55222,600.51,21,F,Sudeste,pix,0
51537,71.24,8,C,Centro-Oeste,credito,0
54530,31.46,10,F,Sul,pix,0
52949,1279.89,12,D,Norte,credito,0
50240,719.0,2,F,Sul,pix,0
54419,1190.75,10,C,Sul,pix,0
53897,35.65,17,B,Sudeste,credito,0
55673,12066.74,16,F,Norte,boleto,0
50246,862.46,5,C,Norte,boleto,0
51427,8450.72,9,B,Sudeste,pix,0
56644,1043.41,6,A,Sudeste,debito,0
55832,92.78,21,E,Norte,pix,0
50933,2900.85,17,D,Norte,boleto,0
50218,1022.76,19,A,Norte,boleto,0
53668,166.7,13,F,Nordeste,debito,0
50102,396.67,5,D,Sudeste,pix,0
50697,53.75,23,E,Nordeste,debito,0
51980,2154.37,19,A,Nordeste,pix,0
51895,1150.1,15,E,Norte,debito,0
51633,10180.6,15,C,Centro-Oeste,pix,0
55936,18.66,8,A,Nordeste,credito,0
54706,688.93,10,C,Nordeste,credito,0
57019,922.41,13,D,Norte,pix,0
54777,940.3,9,F,Sudeste,debito,0
56703,148.18,6,B,Sul,credito,0
55282,61.74,19,E,Nordeste,pix,0
56955,19.74,7,C,Sudeste,boleto,0
51821,5.14,15,A,Sudeste,credito,0
52930,19.08,8,F,Sudeste,pix,0
50038,10.38,23,B,Norte,debito,0
50133,12.69,23,B,Centro-Oeste,pix,0
55575,4.49,10,B,Sul,credito,0
55333,31.04,0,A,Centro-Oeste,credito,0
54463,267.12,16,E,Nordeste,pix,0
55532,1393.73,23,A,Centro-Oeste,debito,0
51175,1024.19,13,B,Norte,credito,0
50829,267.83,19,F,Norte,pix,0
50586,1794.32,10,E,Sul,credito,0
55077,457.24,12,B,Centro-Oeste,credito,0
50320,2783.43,10,E,Sul,pix,0
56803,107.55,23,B,Sul,debito,0
50966,2442.76,1,A,Centro-Oeste,pix,0
54732,15388.94,6,C,Norte,debito,0
51216,892.32,15,C,Centro-Oeste,debito,0
56456,31.73,4,C,Centro-Oeste,credito,0
54774,624.3,9,E,Sudeste,debito,0
56685,699.73,13,A,Nordeste,pix,0
52190,880.14,6,E,Centro-Oeste,pix,0
52806,71.31,12,A,Sudeste,boleto,0
52092,3810.48,10,F,Sudeste,pix,0
50436,18.54,2,B,Norte,pix,0
53333,7738.22,2,C,Centro-Oeste,pix,0
52132,1569.03,17,B,Sudeste,credito,0
56905,70.75,8,E,Sul,pix,0
54718,3445.84,18,C,Norte,debito,0
52224,24.97,20,E,Sul,debito,0
50504,1280.83,16,B,Nordeste,debito,0
53564,25203.05,20,A,Sudeste,pix,0
50051,201.07,20,D,Norte,debito,0
56728,393.04,12,A,Nordeste,debito,0
55396,420.06,3,A,Sul,credito,0
56778,1135.08,5,F,Norte,debito,0
54158,9.19,12,A,Centro-Oeste,debito,0
51299,304.15,21,F,Sudeste,debito,0
55287,42.37,13,D,Centro-Oeste,credito,0
53552,9.29,13,C,Sul,debito,0
53996,603.34,2,E,Norte,pix,0
55598,32.48,12,A,Norte,debito,0
55274,857.21,6,C,Norte,debito,0
55545,956.54,23,C,Nordeste,credito,0
53046,297.25,6,E,Centro-Oeste,debito,0
52046,377.03,9,A,Sul,credito,0
53040,9816.02,10,E,Norte,debito,0
51047,490.38,17,B,Nordeste,debito,0
52471,1989.01,14,D,Norte,pix,0
51177,201.43,10,C,Sudeste,debito,0
56532,3663.32,0,B,Nordeste,credito,0
53001,242.73,21,F,Nordeste,pix,0
53965,46.86,20,A,Centro-Oeste,credito,0
53708,365.82,1,B,Sudeste,credito,0
52927,1542.55,20,E,Sul,credito,0
51865,838.07,18,B,Sudeste,debito,0
55958,1124.48,4,C,Centro-Oeste,credito,0
54113,240.54,9,B,Centro-Oeste,debito,0
52933,99.85,2,F,Sudeste,pix,0
56809,121.87,14,B,Sudeste,debito,0
51935,3941.47,7,D,Centro-Oeste,credito,0
55822,712.15,5,F,Sul,debito,0
52088,92.5,19,E,Norte,debito,0
50995,18849.81,6,E,Nordeste,pix,0
55729,558.37,10,A,Sul,boleto,0
50469,0.83,14,B,Norte,pix,0
50333,4357.15,13,A,Norte,credito,0
52514,997.53,16,A,Centro-Oeste,debito,0
51540,440.71,8,B,Nordeste,pix,0
52593,18.96,8,C,Sudeste,debito,0
50438,189.78,12,B,Norte,debito,0
51894,39.01,12,E,Nordeste,debito,0
54595,6.35,16,A,Sul,pix,0
51394,1830.05,7,E,Sudeste,debito,0
54316,34.09,10,E,Nordeste,pix,0
54429,2026.42,1,B,Norte,debito,0
54468,446.25,2,A,Sudeste,debito,0
53443,20.06,23,E,Sul,credito,0
54693,3819.2,20,D,Nordeste,pix,0
51845,74.8,2,E,Norte,debito,0
57025,1777.41,15,A,Sul,pix,0
51262,831.78,3,F,Norte,credito,0
52624,213.49,0,C,Nordeste,debito,0
55253,19.42,10,F,Sudeste,credito,0
54933,63.38,5,B,Centro-Oeste,pix,0
53936,964.71,15,C,Sudeste,credito,0
56712,188.19,13,D,Sul,credito,0
52179,140.63,1,A,Norte,credito,0
54960,544.16,9,B,Sudeste,credito,0
52407,4271.19,9,B,Centro-Oeste,pix,0
52664,4104.83,8,E,Sul,debito,0
50080,3135.76,3,D,Norte,debito,0
51021,245.4,9,B,Norte,boleto,0
50753,747.06,18,F,Centro-Oeste,credito,0
52649,1839.52,12,F,Sul,boleto,0
53342,3889.63,8,B,Sul,credito,0
56005,553.24,20,E,Sul,credito,0
50231,455.27,19,B,Centro-Oeste,credito,0
50186,355.39,7,B,Sul,pix,0
51282,29858.29,9,C,Nordeste,credito,0
55187,92.8,23,C,Norte,credito,0
52901,49.21,2,B,Centro-Oeste,credito,0
53647,2094.69,21,E,Nordeste,debito,0
50497,374.19,16,B,Norte,credito,0
55715,160.65,7,A,Sul,pix,0
55904,2535.99,15,F,Centro-Oeste,debito,0
50961,28.46,8,D,Nordeste,debito,0
54510,9.33,4,E,Sudeste,pix,0
51010,4039.04,2,A,Centro-Oeste,credito,0
57031,231.42,13,C,Sudeste,credito,0
55473,15.07,23,D,Norte,debito,0
54102,80.56,17,B,Sul,credito,0
54371,54.81,22,C,Sudeste,debito,0
55245,3263.23,12,F,Centro-Oeste,credito,0
55548,56.85,13,D,Nordeste,credito,0
54665,9.98,16,A,Sudeste,pix,0
53591,7605.14,2,E,Norte,credito,0
56371,41.48,6,B,Sul,credito,0
