id,valor,hora,categoria,is_fraud
31297,5763.05,9,A,0
44444,374.76,10,B,0
41434,20.22,2,D,0
5035,1382.25,10,D,0
38351,220.41,7,B,0
35405,459.72,7,B,0
28033,1196.65,17,B,0
44997,395.15,16,C,1
31613,10991.28,21,B,0
27451,808.87,23,B,0
31444,4656.23,6,C,0
17895,0.83,21,C,0
29272,2772.77,16,D,0
43740,1607.84,0,D,0
7452,854.63,0,B,0
41093,948.57,10,A,0
38175,325.69,0,D,0
35582,534.74,16,B,0
28407,2097.35,20,A,0
42911,84.43,23,B,0
31275,33610.95,8,D,0
1488,9.76,3,C,0
45182,429.63,9,B,1
43286,500.4,12,C,0
22113,573.25,9,B,0
41253,42.47,20,D,0
34459,4.53,14,A,0
32586,304.42,1,A,0
8455,36.5,4,A,0
43727,193.72,7,C,0
3674,1703.29,4,D,0
37268,13.08,5,B,0
38261,3106.38,0,A,0
3151,1779.29,12,C,0
5605,763.2,16,B,0
10308,715.04,3,A,0
15704,382.3,21,B,0
5081,45.28,20,A,0
32104,31.0,14,C,0
15666,2001.36,2,B,0
8740,17.03,10,C,0
25577,127.39,4,A,0
41897,195.39,12,C,0
34868,1433.51,16,A,0
21446,1143.39,3,A,0
21759,10392.47,12,B,0
21513,170.8,10,B,0
8673,288.62,6,B,0
38709,73.06,7,B,0
34648,100939.7,16,B,0
44455,184.49,23,B,0
17437,161682.7,23,A,0
28864,22.81,20,C,0
5708,600.4,18,C,0
13366,2793.18,5,D,0
28837,33.37,1,C,0
16871,47.09,5,C,0
16809,2365.14,6,C,0
14382,193.24,22,D,0
35653,42.2,20,C,0
34470,27.87,0,B,0
36784,147.28,6,C,0
30662,9.29,21,A,0
37527,365.14,17,A,0
45033,3342.25,22,A,1
17355,13828.16,16,B,0
24596,316.79,4,B,0
43683,641.36,19,C,0
23201,73.97,23,C,0
24024,1155.64,11,A,0
11452,59.68,4,B,0
28742,365.41,17,B,0
18538,2600.67,5,D,0
27721,78.35,15,D,0
19592,48.38,12,D,0
41764,34.06,4,D,0
3706,611.08,21,C,0
33300,332.53,1,A,0
15036,3806.21,0,C,0
14147,34.54,5,C,0
29764,1214.48,4,C,0
4615,369.34,6,C,0
24097,742.43,3,D,0
25779,45594.91,11,A,0
10804,360.61,4,B,0
6232,159.63,15,B,0
13254,141.97,6,D,0
41144,669.22,21,B,0
15485,777.08,8,A,0
4708,125.43,11,D,0
43843,153.76,7,B,0
42387,2164.54,23,D,0
21213,499.82,4,D,0
8722,484.93,22,A,0
39447,23.56,9,B,0
34589,178.41,20,D,0
16420,239.16,2,A,0
33541,55.09,12,C,0
24044,222.04,5,B,0
5287,28.97,15,D,0
40011,40.99,14,A,0
27904,43.44,4,C,0
885,1291.79,12,D,0
7517,11682.08,8,B,0
29836,8.15,19,B,0
4420,3.91,7,A,0
32292,1603.29,22,D,0
25389,20.72,4,D,0
13241,10.38,20,A,0
24413,72.9,5,C,0
3708,4936.47,17,C,0
42027,5.11,7,B,0
12575,1507.23,15,C,0
3069,518.29,8,D,0
13659,463.76,23,C,0
30742,1503.79,14,C,0
9791,1711.91,4,C,0
13642,148.58,2,D,0
15040,340.89,5,D,0
41795,412.73,23,B,0
39912,54.73,4,A,0
19679,351.58,11,D,0
44895,2805.26,6,B,1
22454,23.19,2,A,0
32461,185.36,3,C,0
27579,103.88,15,B,0
17378,22.16,5,A,0
17965,684.26,13,C,0
42431,242.83,22,B,0
44398,112.05,13,A,0
23696,135.04,16,A,0
20343,2142.0,21,D,0
12758,63.47,9,D,0
34814,5456.04,9,A,0
36410,4.45,4,A,0
4514,50.85,22,B,0
22620,797.72,6,A,0
39983,290.75,4,C,0
31475,84.22,17,B,0
21955,500.22,18,D,0
3917,277.31,10,B,0
3594,17.13,7,C,0
27149,183.03,1,D,0
38877,2088.83,1,B,0
6066,191.36,14,A,0
36849,296.72,10,A,0
21995,186.82,4,B,0
35280,270.08,5,B,0
30558,669.43,5,B,0
29668,34.17,12,B,0
31886,110.34,23,B,0
16661,17.42,16,A,0
12155,1339.99,4,D,0
35264,198.71,11,C,0
42334,415.4,16,B,0
23544,16.62,19,D,0
35837,676.71,7,A,0
44212,119.33,0,B,0
38562,3.36,13,C,0
937,42.84,16,D,0
25229,106.27,22,D,0
43779,2.02,6,A,0
15254,586.75,9,C,0
3026,151.86,16,B,0
565,3649.8,5,A,0
30526,4.81,7,B,0
36991,32.46,5,C,0
8125,169.53,15,D,0
34139,3297.35,0,D,0
7375,846.38,1,D,0
31234,483.48,7,B,0
32111,303.69,14,C,0
22520,3446.82,5,D,0
40579,774.8,22,C,0
4996,299.49,11,B,0
7063,79.63,7,B,0
33425,213.16,7,D,0
7752,622.6,17,D,0
19305,1816.77,23,B,0
24056,52.54,17,A,0
22658,904.86,14,C,0
26932,713.37,21,C,0
25546,3455.96,14,A,0
15786,186.31,17,B,0
1389,352.13,0,A,0
23952,399.78,22,A,0
17512,12642.07,3,D,0
20666,5900.53,3,C,0
42267,40.72,5,B,0
36969,267.24,13,A,0
41277,25.13,8,B,0
11542,3045.3,6,C,0
28552,1.46,6,C,0
22359,0.45,0,D,0
14837,561.45,16,C,0
4153,392.38,5,B,0
647,1.5,22,C,0
18268,1708.26,12,B,0
18835,308.43,4,A,0
5716,140.96,23,A,0
16891,671.58,0,A,0
37215,2600.95,23,A,0
18305,115.76,15,D,0
36386,825.91,22,D,0
31392,1657.54,14,B,0
19462,592.25,22,A,0
5,206.79,14,B,0
43413,5.37,15,A,0
44296,883.66,5,A,0
13261,1124.68,8,A,0
20994,1316.23,18,D,0
41973,988.1,7,C,0
19069,473.11,22,C,0
38115,141.44,18,B,0
2529,20192.92,20,A,0
23316,17.68,5,C,0
17647,486.79,0,A,0
37790,318.45,0,A,0
6748,931.17,12,A,0
25037,10.6,22,B,0
20697,5.47,22,C,0
12681,860.37,9,A,0
39491,742.64,10,D,0
27030,296.76,22,B,0
26450,37.11,22,C,0
11913,252.15,1,A,0
13803,43633.36,21,A,0
25708,14130.4,17,A,0
18598,99.54,15,C,0
38822,265.67,15,B,0
22012,7548.94,9,A,0
5882,5350.32,4,A,0
5217,591.07,20,A,0
31294,285.25,15,B,0
16805,892.01,23,C,0
39705,207.62,23,B,0
29907,14.06,15,D,0
21522,145.96,10,D,0
30851,74.82,19,A,0
35292,26.7,21,A,0
34747,253.86,11,A,0
43999,5049.32,17,C,0
5855,20.84,3,B,0
24871,31.67,16,B,0
10822,290.5,9,B,0
7252,75.64,8,B,0
20627,6.68,12,B,0
38081,22.08,2,C,0
19007,1002.84,19,B,0
43249,53.17,5,B,0
8953,50.56,6,D,0
26061,43.41,18,C,0
36999,1686.62,12,B,0
20262,5443.29,11,B,0
30321,338.49,5,B,0
38158,513.28,11,A,0
7617,457.42,7,A,0
30610,8.61,10,C,0
9267,201.58,4,C,0
24107,161.58,17,C,0
21337,220.39,6,B,0
33575,117.54,15,A,0
8659,378.66,16,A,0
7482,596.47,3,D,0
29311,2216.41,3,B,0
40849,2234.44,15,B,0
19177,1209.07,6,D,0
43674,626.73,20,B,0
2894,508.16,15,C,0
2515,257.0,22,C,0
15728,2.71,18,B,0
37749,886.35,9,A,0
12365,1480.12,16,A,0
22365,84.79,18,A,0
17846,1907.45,4,A,0
19408,22.45,8,B,0
1001,5424.66,3,B,0
11961,342.29,23,A,0
22753,222.98,12,B,0
8766,132.91,8,A,0
6294,790.35,1,A,0
36025,486.37,6,A,0
30095,343.14,15,A,0
315,4496.06,10,A,0
12005,340.98,17,B,0
502,15045.49,4,D,0
31583,1550.15,10,B,0
10454,3543.36,5,B,0
42959,116.1,13,D,0
42993,62.83,3,B,0
18662,8.03,3,D,0
15558,3332.46,6,B,0
32467,43.74,2,B,0
16040,273.56,11,A,0
31033,173.76,2,A,0
36774,1079.39,13,B,0
23999,498.35,7,C,0
36085,3859.38,21,C,0
37962,246.48,21,A,0
10222,222.04,21,C,0
5166,2315.18,16,D,0
9101,166.97,6,A,0
25848,812.05,1,B,0
26183,893.93,23,C,0
29420,1454.98,19,D,0
40490,2573.01,7,A,0
2645,37.36,3,B,0
30299,1648.38,20,D,0
1176,188.42,19,B,0
25647,955.25,13,D,0
42317,172.18,22,C,0
26245,558.56,22,A,0
24469,1512.46,22,D,0
24994,46.37,1,D,0
41257,193.27,0,D,0
35952,309.87,0,A,0
25090,2305.62,2,C,0
2741,757.28,12,D,0
18397,1491.93,15,A,0
13658,3287.98,18,D,0
19859,5.17,22,B,0
10501,7205.81,5,A,0
1867,2604.75,19,B,0
41995,1259.11,4,C,0
12385,149.88,21,A,0
26707,1065.84,9,D,0
7218,7408.6,12,B,0
13603,12501.28,2,A,0
18064,1796.23,12,B,0
19958,1.77,11,A,0
40839,2550.57,3,A,0
26827,806.34,16,D,0
7194,2397.98,21,B,0
10203,878.54,3,A,0
14633,217.67,18,A,0
44980,292.74,16,B,1
33605,60.14,6,C,0
22363,44.06,13,B,0
17440,19.58,13,C,0
23138,3.85,18,B,0
44600,63.06,7,D,0
45239,321.33,11,A,1
39716,190.53,14,D,0
19270,368.22,16,C,0
15141,1045.72,12,B,0
24916,79.45,5,B,0
28080,893.06,0,C,0
15971,20346.88,12,B,0
16546,9376.66,1,A,0
27807,601.41,10,D,0
